id,cluster,title,owner_team,blocking_dependencies,risk_level,estimated_complexity,merge_risk_score,parallelizable_cluster
C04-022,C04,ChatGPT: Define MCP projection behavior and constraints,harness-openai,C01-001;C02-001;C03-005,medium,M,4,C04
C04-023,C04,ChatGPT: Define instruction/rules/doc projection behavior,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-024,C04,ChatGPT: Create golden config fixtures,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-025,C04,ChatGPT: Create harness-specific setup docs,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-026,C04,ChatGPT: Create drift detection and repair behavior,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-027,C04,ChatGPT: Create rollback validation fixture,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-028,C04,OpenAI Codex: Validate repo artifacts and support tier,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-029,C04,OpenAI Codex: Map official extension/plugin/config surfaces,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-030,C04,OpenAI Codex: Define skill projection behavior,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-031,C04,OpenAI Codex: Define MCP projection behavior and constraints,harness-openai,C01-001;C02-001;C03-005,medium,M,4,C04
C04-032,C04,OpenAI Codex: Define instruction/rules/doc projection behavior,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-033,C04,OpenAI Codex: Create golden config fixtures,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-034,C04,OpenAI Codex: Create harness-specific setup docs,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-035,C04,OpenAI Codex: Create drift detection and repair behavior,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-036,C04,OpenAI Codex: Create rollback validation fixture,harness-openai,C01-001;C02-001,medium,M,4,C04
C04-037,C04,GitHub Copilot Web: Validate repo artifacts and support tier,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-038,C04,GitHub Copilot Web: Map official extension/plugin/config surfaces,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-039,C04,GitHub Copilot Web: Define skill projection behavior,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-040,C04,GitHub Copilot Web: Define MCP projection behavior and constraints,harness-copilot,C01-001;C02-001;C03-005,medium,M,4,C04
C04-041,C04,GitHub Copilot Web: Define instruction/rules/doc projection behavior,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-042,C04,GitHub Copilot Web: Create golden config fixtures,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-043,C04,GitHub Copilot Web: Create harness-specific setup docs,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-044,C04,GitHub Copilot Web: Create drift detection and repair behavior,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-045,C04,GitHub Copilot Web: Create rollback validation fixture,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-046,C04,GitHub Copilot CLI: Validate repo artifacts and support tier,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-047,C04,GitHub Copilot CLI: Map official extension/plugin/config surfaces,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-048,C04,GitHub Copilot CLI: Define skill projection behavior,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-049,C04,GitHub Copilot CLI: Define MCP projection behavior and constraints,harness-copilot,C01-001;C02-001;C03-005,medium,M,4,C04
C04-050,C04,GitHub Copilot CLI: Define instruction/rules/doc projection behavior,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-051,C04,GitHub Copilot CLI: Create golden config fixtures,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-052,C04,GitHub Copilot CLI: Create harness-specific setup docs,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-053,C04,GitHub Copilot CLI: Create drift detection and repair behavior,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-054,C04,GitHub Copilot CLI: Create rollback validation fixture,harness-copilot,C01-001;C02-001,medium,M,4,C04
C04-055,C04,OpenCode: Validate repo artifacts and support tier,harness-opencode,C01-001;C02-001,medium,M,4,C04
C04-056,C04,OpenCode: Map official extension/plugin/config surfaces,harness-opencode,C01-001;C02-001,medium,M,4,C04
C04-057,C04,OpenCode: Define skill projection behavior,harness-opencode,C01-001;C02-001,medium,M,4,C04
C04-058,C04,OpenCode: Define MCP projection behavior and constraints,harness-opencode,C01-001;C02-001;C03-005,medium,M,4,C04
C04-059,C04,OpenCode: Define instruction/rules/doc projection behavior,harness-opencode,C01-001;C02-001,medium,M,4,C04
C04-060,C04,OpenCode: Create golden config fixtures,harness-opencode,C01-001;C02-001,medium,M,4,C04
C04-061,C04,OpenCode: Create harness-specific setup docs,harness-opencode,C01-001;C02-001,medium,M,4,C04
C04-062,C04,OpenCode: Create drift detection and repair behavior,harness-opencode,C01-001;C02-001,medium,M,4,C04
C04-063,C04,OpenCode: Create rollback validation fixture,harness-opencode,C01-001;C02-001,medium,M,4,C04
C04-064,C04,Gemini CLI: Validate repo artifacts and support tier,harness-gemini,C01-001;C02-001,medium,M,4,C04
C04-065,C04,Gemini CLI: Map official extension/plugin/config surfaces,harness-gemini,C01-001;C02-001,medium,M,4,C04
C04-066,C04,Gemini CLI: Define skill projection behavior,harness-gemini,C01-001;C02-001,medium,M,4,C04
C04-067,C04,Gemini CLI: Define MCP projection behavior and constraints,harness-gemini,C01-001;C02-001;C03-005,medium,M,4,C04
C04-068,C04,Gemini CLI: Define instruction/rules/doc projection behavior,harness-gemini,C01-001;C02-001,medium,M,4,C04
C04-069,C04,Gemini CLI: Create golden config fixtures,harness-gemini,C01-001;C02-001,medium,M,4,C04
C04-070,C04,Gemini CLI: Create harness-specific setup docs,harness-gemini,C01-001;C02-001,medium,M,4,C04
C04-071,C04,Gemini CLI: Create drift detection and repair behavior,harness-gemini,C01-001;C02-001,medium,M,4,C04
C04-072,C04,Gemini CLI: Create rollback validation fixture,harness-gemini,C01-001;C02-001,medium,M,4,C04
C04-073,C04,Cursor Editor: Validate repo artifacts and support tier,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-074,C04,Cursor Editor: Map official extension/plugin/config surfaces,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-075,C04,Cursor Editor: Define skill projection behavior,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-076,C04,Cursor Editor: Define MCP projection behavior and constraints,harness-cursor,C01-001;C02-001;C03-005,medium,M,4,C04
C04-077,C04,Cursor Editor: Define instruction/rules/doc projection behavior,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-078,C04,Cursor Editor: Create golden config fixtures,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-079,C04,Cursor Editor: Create harness-specific setup docs,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-080,C04,Cursor Editor: Create drift detection and repair behavior,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-081,C04,Cursor Editor: Create rollback validation fixture,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-082,C04,Cursor Agent CLI/Web: Validate repo artifacts and support tier,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-083,C04,Cursor Agent CLI/Web: Map official extension/plugin/config surfaces,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-084,C04,Cursor Agent CLI/Web: Define skill projection behavior,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-085,C04,Cursor Agent CLI/Web: Define MCP projection behavior and constraints,harness-cursor,C01-001;C02-001;C03-005,medium,M,4,C04
C04-086,C04,Cursor Agent CLI/Web: Define instruction/rules/doc projection behavior,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-087,C04,Cursor Agent CLI/Web: Create golden config fixtures,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-088,C04,Cursor Agent CLI/Web: Create harness-specific setup docs,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-089,C04,Cursor Agent CLI/Web: Create drift detection and repair behavior,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-090,C04,Cursor Agent CLI/Web: Create rollback validation fixture,harness-cursor,C01-001;C02-001,medium,M,4,C04
C04-091,C04,Antigravity: Validate repo artifacts and support tier,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-092,C04,Antigravity: Map official extension/plugin/config surfaces,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-093,C04,Antigravity: Define skill projection behavior,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-094,C04,Antigravity: Define MCP projection behavior and constraints,harness-experimental,C01-001;C02-001;C03-005,high,M,4,C04
C04-095,C04,Antigravity: Define instruction/rules/doc projection behavior,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-096,C04,Antigravity: Create golden config fixtures,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-097,C04,Antigravity: Create harness-specific setup docs,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-098,C04,Antigravity: Create drift detection and repair behavior,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-099,C04,Antigravity: Create rollback validation fixture,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-100,C04,Perplexity Desktop: Validate repo artifacts and support tier,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-101,C04,Perplexity Desktop: Map official extension/plugin/config surfaces,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-102,C04,Perplexity Desktop: Define skill projection behavior,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-103,C04,Perplexity Desktop: Define MCP projection behavior and constraints,harness-experimental,C01-001;C02-001;C03-005,high,M,4,C04
C04-104,C04,Perplexity Desktop: Define instruction/rules/doc projection behavior,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-105,C04,Perplexity Desktop: Create golden config fixtures,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-106,C04,Perplexity Desktop: Create harness-specific setup docs,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-107,C04,Perplexity Desktop: Create drift detection and repair behavior,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-108,C04,Perplexity Desktop: Create rollback validation fixture,harness-experimental,C01-001;C02-001,high,M,4,C04
C04-109,C04,Cherry Studio: Validate repo artifacts and support tier,harness-experimental,C01-001;C02-001,medium,M,4,C04
C04-110,C04,Cherry Studio: Map official extension/plugin/config surfaces,harness-experimental,C01-001;C02-001,medium,M,4,C04
C04-111,C04,Cherry Studio: Define skill projection behavior,harness-experimental,C01-001;C02-001,medium,M,4,C04
C04-112,C04,Cherry Studio: Define MCP projection behavior and constraints,harness-experimental,C01-001;C02-001;C03-005,medium,M,4,C04
C04-113,C04,Cherry Studio: Define instruction/rules/doc projection behavior,harness-experimental,C01-001;C02-001,medium,M,4,C04
C04-114,C04,Cherry Studio: Create golden config fixtures,harness-experimental,C01-001;C02-001,medium,M,4,C04
C04-115,C04,Cherry Studio: Create harness-specific setup docs,harness-experimental,C01-001;C02-001,medium,M,4,C04
C04-116,C04,Cherry Studio: Create drift detection and repair behavior,harness-experimental,C01-001;C02-001,medium,M,4,C04
C04-117,C04,Cherry Studio: Create rollback validation fixture,harness-experimental,C01-001;C02-001,medium,M,4,C04
C05-001,C05,Design wagents doctor output model,ux-cli,C01-009,medium,M,3,C05
C05-002,C05,Implement doctor prerequisites and harness detection spec,ux-cli,C01-009,medium,M,3,C05
C05-003,C05,Design catalog browse/explain UX,ux-cli,C01-009,medium,M,3,C05
C05-004,C05,Design skill add preview/apply UX,ux-cli,C01-009,medium,M,3,C05
C05-005,C05,Design MCP inspect/enable UX,ux-cli,C01-009,medium,M,3,C05
C05-006,C05,Design sync preview UX,ux-cli,C01-009,medium,M,3,C05
C05-007,C05,Design sync apply transaction UX,ux-cli,C01-009,medium,M,3,C05
C05-008,C05,Design rollback UX,ux-cli,C01-009,medium,M,3,C05
C05-009,C05,Design OpenSpec command group UX,ux-cli,C01-009,medium,M,3,C05
C05-010,C05,Define machine-readable JSON output formats for automation,ux-cli,C01-009,medium,M,3,C05
C05-011,C05,Define CLI error taxonomy and remediation hints,ux-cli,C01-009,medium,M,3,C05
C05-012,C05,Define dashboard information architecture,ux-cli,C01-009,medium,M,3,C05
C05-013,C05,Define skill catalog dashboard view,ux-cli,C01-009,medium,M,3,C05
C05-014,C05,Define MCP audit dashboard view,ux-cli,C01-009,medium,M,3,C05
C05-015,C05,Define config drift dashboard view,ux-cli,C01-009,medium,M,3,C05
C05-016,C05,Define transaction history dashboard view,ux-cli,C01-009,medium,M,3,C05
C05-017,C05,Define support matrix dashboard view,ux-cli,C01-009,medium,M,3,C05
C05-018,C05,Define guided onboarding wizard,ux-cli,C01-009,medium,M,3,C05
C05-019,C05,Create CLI golden snapshot tests,ux-cli,C01-009,medium,M,3,C05
C05-020,C05,Create dashboard wireframe docs,ux-cli,C01-009,medium,M,3,C05
C06-001,C06,Define transaction engine operation model,security,C01-001,high,M,3,C06
C06-002,C06,Define backup snapshot format,security,C01-001,high,M,3,C06
C06-003,C06,Define atomic file-write strategy,security,C01-001,high,M,3,C06
C06-004,C06,Define rollback verification strategy,security,C01-001,high,M,3,C06
C06-005,C06,Define secret redaction model,security,C01-001,high,M,3,C06
C06-006,C06,Define environment overlay policy,security,C01-001,high,M,3,C06
C06-007,C06,Define policy-as-code validation rules,security,C01-001,high,M,3,C06
C06-008,C06,Define external skill source trust policy,security,C01-001,high,M,3,C06
C06-009,C06,Define MCP source trust policy,security,C01-001,high,M,3,C06
C06-010,C06,Define signing/checksum/provenance strategy,security,C01-001,high,M,3,C06
C06-011,C06,Evaluate Sigstore/cosign for skill provenance,security,C01-001,high,M,3,C06
C06-012,C06,Evaluate SBOM tooling for skill dependencies,security,C01-001,high,M,3,C06
C06-013,C06,Evaluate OPA/Conftest for registry policy,security,C01-001,high,M,3,C06
C06-014,C06,Define sandbox profiles for script-backed skills,security,C01-001,high,M,3,C06
C06-015,C06,Define sandbox profiles for local MCP servers,security,C01-001,high,M,3,C06
C06-016,C06,Define network access declaration schema,security,C01-001,high,M,3,C06
C06-017,C06,Define prompt-injection and tool-poisoning mitigations,security,C01-001,high,M,3,C06
C06-018,C06,Define security review checklist,security,C01-001,high,M,3,C06
C06-019,C06,Create threat model docs,security,C01-001,high,M,3,C06
C06-020,C06,Create security exception workflow,security,C01-001,high,M,3,C06
C07-001,C07,Create registry schema validation CI gate,ci-evals,C01-013,medium,M,3,C07
C07-002,C07,Create skill validation CI gate,ci-evals,C01-013,medium,M,3,C07
C07-003,C07,Create skill CLI conformance CI gate,ci-evals,C01-013,medium,M,3,C07
C07-004,C07,Create MCP registry validation CI gate,ci-evals,C01-013,medium,M,3,C07
C07-005,C07,Create MCP smoke test CI gate,ci-evals,C01-013,medium,M,3,C07
C07-006,C07,Create MCP security scan CI gate,ci-evals,C01-013,medium,M,3,C07
C07-007,C07,Create adapter golden-fixture CI gate,ci-evals,C01-013,medium,M,3,C07
C07-008,C07,Create docs truth CI gate,ci-evals,C01-013,medium,M,3,C07
C07-009,C07,Create AI instruction truth CI gate,ci-evals,C01-013,medium,M,3,C07
C07-010,C07,Create OpenSpec validation CI gate,ci-evals,C01-013,medium,M,3,C07
C07-011,C07,Create transaction rollback CI gate,ci-evals,C01-013,medium,M,3,C07
C07-012,C07,Create repo-sync inventory CI gate,ci-evals,C01-013,medium,M,3,C07
C07-013,C07,Create eval scenario schema,ci-evals,C01-013,medium,M,3,C07
C07-014,C07,Create promptfoo/deepeval feasibility notes,ci-evals,C01-013,medium,M,3,C07
C07-015,C07,Create Microsoft skills scenario-harness adaptation note,ci-evals,C01-013,medium,M,3,C07
C07-016,C07,Create deterministic replay fixture design,ci-evals,C01-013,medium,M,3,C07
C07-017,C07,Create local audit log schema,observability,C01-013,medium,M,3,C07
C07-018,C07,Create OpenTelemetry instrumentation plan,observability,C01-013,medium,M,3,C07
C07-019,C07,Create run graph visualization spec,observability,C01-013,medium,M,3,C07
C07-020,C07,Create cost telemetry design,observability,C01-013,medium,M,3,C07
C07-021,C07,Create CI report dashboard spec,observability,C01-013,medium,M,3,C07
C07-022,C07,Create failure remediation docs,observability,C01-013,medium,M,3,C07
C08-001,C08,Canonicalize README quickstart and supported agents section,docs-ai-instructions,C01-005,medium,S,5,C08
C08-002,C08,Update README skill catalog section from skill inventory,docs-ai-instructions,C01-005,medium,S,5,C08
C08-003,C08,Update README MCP policy section from MCP inventory,docs-ai-instructions,C01-005,medium,S,5,C08
C08-004,C08,Update README OpenSpec governance section,docs-ai-instructions,C01-005,medium,S,5,C08
C08-005,C08,Update AGENTS.md with skill-first decision tree,docs-ai-instructions,C01-005,medium,S,5,C08
C08-006,C08,Update AGENTS.md with MCP safety policy,docs-ai-instructions,C01-005,medium,S,3,C08
C08-007,C08,Update CLAUDE.md with Claude Code skills/plugins/hooks/subagents guidance,docs-ai-instructions,C01-005,medium,S,3,C08
C08-008,C08,Update GEMINI.md with Gemini extension/MCP guidance,docs-ai-instructions,C01-005,medium,S,3,C08
C08-009,C08,Create .github/copilot-instructions.md projection,docs-ai-instructions,C01-005,medium,S,3,C08
C08-010,C08,Create .github/instructions scoped instruction docs,docs-ai-instructions,C01-005,medium,S,3,C08
C08-011,C08,Update Cursor rules docs and deprecate .cursorrules assumptions,docs-ai-instructions,C01-005,medium,S,3,C08
C08-012,C08,Update OpenCode setup docs,docs-ai-instructions,C01-005,medium,S,3,C08
C08-013,C08,Update Cherry Studio preset/setup docs,docs-ai-instructions,C01-005,medium,S,3,C08
C08-014,C08,Update Perplexity Desktop caveat docs,docs-ai-instructions,C01-005,medium,S,3,C08
C08-015,C08,Update Antigravity experimental caveat docs,docs-ai-instructions,C01-005,medium,S,3,C08
C08-016,C08,Create docs/skills.md from skill registry,docs-ai-instructions,C01-005,medium,S,3,C08
C08-017,C08,Create docs/mcp.md from MCP registry,docs-ai-instructions,C01-005,medium,S,3,C08
C08-018,C08,Create docs/harnesses index,docs-ai-instructions,C01-005,medium,S,3,C08
C08-019,C08,Create docs/security.md,docs-ai-instructions,C01-005,medium,S,3,C08
C08-020,C08,Create docs/config-transactions.md,docs-ai-instructions,C01-005,medium,S,3,C08
