id,repo,url,domain,cluster,initial_action,skills_first_fit,mcp_fit,primary_integration_surface,security_posture,license_status,maintenance_status,recommended_next_step
EXT-057,anomalyco/opentui,https://github.com/anomalyco/opentui,terminal UI framework,ui,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,TUI framework for wagents dashboard
EXT-058,tiann/hapi,https://github.com/tiann/hapi,agent/api platform,external,intake-required,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,verify
EXT-059,alvinunreal/oh-my-opencode-slim,https://github.com/alvinunreal/oh-my-opencode-slim,OpenCode slim bundle,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,OpenCode profile conventions
EXT-060,openchamber/openchamber,https://github.com/openchamber/openchamber,open agent chamber,external,intake-required,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,verify
EXT-061,gotalab/cc-sdd,https://github.com/gotalab/cc-sdd,spec-driven dev for Claude Code,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,OpenSpec/spec workflow patterns
EXT-062,michaelshimeles/ralphy,https://github.com/michaelshimeles/ralphy,ralph loop,orchestration,reference-only,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,compare with open-ralph
EXT-063,RunMaestro/Maestro,https://github.com/RunMaestro/Maestro,agent orchestration/control,ui,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,"orchestration patterns, verify"
EXT-064,mikeyobrien/ralph-orchestrator,https://github.com/mikeyobrien/ralph-orchestrator,ralph orchestrator,orchestration,reference-only,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,status loop pattern
EXT-065,ZSeven-W/openpencil,https://github.com/ZSeven-W/openpencil,design/writing assistant,external,intake-required,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,verify
EXT-066,junhoyeo/tokscale,https://github.com/junhoyeo/tokscale,token scaling/telemetry,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,token/cost telemetry pattern
EXT-067,RAIT-09/obsidian-agent-client,https://github.com/RAIT-09/obsidian-agent-client,Obsidian agent client,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,Obsidian integration pattern
EXT-068,safishamsi/graphify,https://github.com/safishamsi/graphify,knowledge graph skill,skills,adopt-candidates,high,low,skills/,review-required,verify-before-use,verify-before-use,high-priority graph/context skill; uv tool install; multi-harness hooks
EXT-069,VoltAgent/awesome-agent-skills,https://github.com/VoltAgent/awesome-agent-skills,awesome skill list,skills,reference-only,high,low,skills/,intake-review,verify-before-use,verify-before-use,high-volume skill discovery source
EXT-070,nexu-io/open-design,https://github.com/nexu-io/open-design,local-first design skill suite,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,"design systems, sandboxed preview, CLI auto-detection, artifact UX"
EXT-071,Orchestra-Research/AI-Research-SKILLs,https://github.com/Orchestra-Research/AI-Research-SKILLs,research skill suite,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,research/engineering skill pack candidates
EXT-072,refly-ai/refly,https://github.com/refly-ai/refly,skill builder/platform,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,skill builder UX and workflow packaging
EXT-073,google/skills,https://github.com/google/skills,official Google skill pack,skills,adopt-candidates,high,low,skills/,review-required,verify-before-use,verify-before-use,official skill candidates for Google technologies
EXT-074,antfu/skills,https://github.com/antfu/skills,curated personal skill pack,skills,reference-only,high,low,skills/,intake-review,verify-before-use,verify-before-use,quality inspiration from expert-maintained skills
EXT-075,antvis/mcp-server-chart,https://github.com/antvis/mcp-server-chart,chart MCP+skills,mcp,wrap,high,medium,skills/,review-required,verify-before-use,verify-before-use,"chart generation; prefer skill CLI if static, MCP if live rendering/server needed"
EXT-076,tech-leads-club/agent-skills,https://github.com/tech-leads-club/agent-skills,validated skill registry,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,secure registry and validation model
EXT-077,iOfficeAI/OfficeCLI,https://github.com/iOfficeAI/OfficeCLI,office document CLI,skills,adopt-candidates,high,low,skills/,review-required,verify-before-use,verify-before-use,strong CLI-first skill wrapper for Word/Excel/PPTX
EXT-078,microsoft/skills,https://github.com/microsoft/skills,official Microsoft skills/MCP/agents,mcp,adopt-candidates,high,medium,skills/,review-required,verify-before-use,verify-before-use,official SDK/product grounding skills
EXT-079,jeremylongshore/claude-code-plugins-plus-skills,https://github.com/jeremylongshore/claude-code-plugins-plus-skills,large Claude marketplace,external,reference-only,low,low,wagents/ + planning/ + docs/,intake-review,verify-before-use,verify-before-use,marketplace/catalog UX and intake scale
EXT-080,supabase/agent-skills,https://github.com/supabase/agent-skills,official Supabase skills,skills,adopt-candidates,high,low,skills/,review-required,verify-before-use,verify-before-use,official skill pack; npx skills install; references model
EXT-081,bergside/design-md-chrome,https://github.com/bergside/design-md-chrome,design extraction browser extension,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,"DESIGN.md generation, browser extension intake"
EXT-082,himself65/finance-skills,https://github.com/himself65/finance-skills,finance skill pack,skills,reference-only,high,low,skills/,intake-review,verify-before-use,verify-before-use,domain skill packaging; high-risk finance caveats
EXT-083,cloudflare/skills,https://github.com/cloudflare/skills,official Cloudflare skills,skills,adopt-candidates,high,low,skills/,review-required,verify-before-use,verify-before-use,official Cloudflare skill pack
EXT-084,SnailSploit/Claude-Red,https://github.com/SnailSploit/Claude-Red,offensive security skills,skills,quarantine,high,low,skills/,quarantine-required,verify-before-use,verify-before-use,red-team only; must not install by default
EXT-085,OpenCoworkAI/open-cowork,https://github.com/OpenCoworkAI/open-cowork,desktop app/control plane,mcp,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,"one-click install, sandbox isolation, skill/MCP UX"
EXT-086,conorluddy/ios-simulator-skill,https://github.com/conorluddy/ios-simulator-skill,iOS simulator skill,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,domain skill with xcodebuild wrapper
EXT-087,imxv/Pretty-mermaid-skills,https://github.com/imxv/Pretty-mermaid-skills,Mermaid rendering skill,skills,adopt-candidates,high,low,skills/,review-required,verify-before-use,verify-before-use,docs/diagram output skill; CLI/SVG/ASCII
EXT-088,agentscope-ai/OpenJudge,https://github.com/agentscope-ai/OpenJudge,evaluation framework,evals,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,eval/reward/benchmark lane
EXT-089,skillmatic-ai/awesome-agent-skills,https://github.com/skillmatic-ai/awesome-agent-skills,awesome skill list,skills,reference-only,high,low,skills/,intake-review,verify-before-use,verify-before-use,skill discovery source
EXT-090,enulus/OpenPackage,https://github.com/enulus/OpenPackage,universal package manager,external,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,package manager/organizer model
EXT-091,millionco/react-doctor,https://github.com/millionco/react-doctor,React diagnostic tool,skills,adapt,medium,low,wagents/ + planning/ + docs/,review-required,verify-before-use,verify-before-use,frontend skill/tool candidate
EXT-092,uditgoenka/autoresearch,https://github.com/uditgoenka/autoresearch,autoresearch skill,skills,adapt,high,low,skills/,review-required,verify-before-use,verify-before-use,research iteration workflow candidate
EXT-093,meodai/skill.color-expert,https://github.com/meodai/skill.color-expert,color design skill,skills,adopt-candidates,high,low,skills/,review-required,verify-before-use,verify-before-use,design/color skill candidate
